--- New simulation start ---
It: 20 | Pl: 65, Herb: 41, Pred: 4, Apex: 1
It: 40 | Pl: 53, Herb: 43, Pred: 4, Apex: 0
It: 60 | Pl: 29, Herb: 54, Pred: 4, Apex: 0
It: 80 | Pl: 26, Herb: 41, Pred: 4, Apex: 0
It: 100 | Pl: 20, Herb: 23, Pred: 3, Apex: 0
It: 120 | Pl: 21, Herb: 20, Pred: 3, Apex: 0
It: 140 | Pl: 22, Herb: 10, Pred: 3, Apex: 0
It: 160 | Pl: 27, Herb: 4, Pred: 3, Apex: 0
It: 180 | Pl: 33, Herb: 3, Pred: 2, Apex: 0
It: 200 | Pl: 37, Herb: 4, Pred: 2, Apex: 0
It: 220 | Pl: 41, Herb: 5, Pred: 2, Apex: 0
It: 240 | Pl: 49, Herb: 5, Pred: 2, Apex: 0
It: 260 | Pl: 49, Herb: 7, Pred: 2, Apex: 0
It: 280 | Pl: 54, Herb: 7, Pred: 2, Apex: 0
It: 300 | Pl: 58, Herb: 5, Pred: 1, Apex: 0
It: 320 | Pl: 62, Herb: 5, Pred: 1, Apex: 0
It: 340 | Pl: 67, Herb: 4, Pred: 1, Apex: 0
It: 360 | Pl: 67, Herb: 5, Pred: 1, Apex: 0
It: 380 | Pl: 68, Herb: 8, Pred: 1, Apex: 0
It: 400 | Pl: 70, Herb: 11, Pred: 1, Apex: 0
It: 20 | Pl: 75, Herb: 27, Pred: 5, Apex: 0
It: 40 | Pl: 62, Herb: 32, Pred: 4, Apex: 0
It: 60 | Pl: 52, Herb: 30, Pred: 4, Apex: 0
It: 80 | Pl: 40, Herb: 20, Pred: 4, Apex: 0
It: 100 | Pl: 27, Herb: 28, Pred: 4, Apex: 0
It: 120 | Pl: 26, Herb: 22, Pred: 4, Apex: 0
It: 140 | Pl: 24, Herb: 15, Pred: 4, Apex: 0
It: 160 | Pl: 19, Herb: 10, Pred: 4, Apex: 0
It: 180 | Pl: 19, Herb: 7, Pred: 4, Apex: 0
It: 200 | Pl: 21, Herb: 7, Pred: 4, Apex: 0
It: 220 | Pl: 18, Herb: 11, Pred: 3, Apex: 0
It: 240 | Pl: 17, Herb: 12, Pred: 3, Apex: 0
It: 260 | Pl: 18, Herb: 7, Pred: 2, Apex: 0
It: 280 | Pl: 24, Herb: 5, Pred: 2, Apex: 0
It: 300 | Pl: 30, Herb: 5, Pred: 2, Apex: 0
It: 320 | Pl: 34, Herb: 4, Pred: 2, Apex: 0
It: 340 | Pl: 39, Herb: 0, Pred: 2, Apex: 0
It: 360 | Pl: 42, Herb: 0, Pred: 2, Apex: 0
It: 380 | Pl: 47, Herb: 0, Pred: 2, Apex: 0
It: 400 | Pl: 55, Herb: 0, Pred: 2, Apex: 0
It: 20 | Pl: 65, Herb: 33, Pred: 4, Apex: 1
It: 40 | Pl: 51, Herb: 40, Pred: 3, Apex: 1
It: 60 | Pl: 27, Herb: 53, Pred: 2, Apex: 0
It: 80 | Pl: 24, Herb: 47, Pred: 2, Apex: 0
It: 100 | Pl: 19, Herb: 38, Pred: 2, Apex: 0
